class_code,college_name,department_name,course_name,professor,class_time,class_type,class_room,class_time_number
CAL3015-41,공과대학,건설환경공학부,"건축공학설계2
Architectural Engineering Design II",김진구,"월15:00-15:50【미지정】,월16:00-16:50【미지정】,월17:00-17:50【미지정】,수15:00-15:50【22402】,수16:00-16:50【22402】,수17:00-17:50【22402】",일반수업,22402,미지정
CAL3015-42,공과대학,건설환경공학부,"건축공학설계2
Architectural Engineering Design II",이송우,"월18:00-18:50【22402】,월19:00-19:50【22402】,월20:00-20:50【22402】,수18:00-18:50【22402】,수19:00-19:50【22402】,수20:00-20:50【22402】",일반수업,22402,"1_18001850, 1_19001950, 1_20002050, 3_18001850, 3_19001950, 3_20002050"
CAL3018-41,공과대학,건설환경공학부,"IndividualStudy2
IndividualStudy2",송두삼,미지정,일반수업,,미지정
CAL3020-41,공과대학,건설환경공학부,"건축공학현장실습1B
Practical Training 1B of Architectural Engineering ",심성한,미지정,일반수업,,미지정
CAL3035-41,공과대학,건설환경공학부,"첨단건설IT
Advanced Information Technology in the Construction Industry",진상윤,"수09:00-10:15【22402】,수10:30-11:45【22402】",국제어수업,22402,"3_09001015, 3_10301145"
CAL3041-41,공과대학,건설환경공학부,"환경수리학
Environmental Hydraulics",이정열,"월16:30-17:45【26512】,수15:00-16:15【26512】",일반수업,26512,"1_16301745, 3_15001615"
CAL3050-41,공과대학,건설환경공학부,"지형공간정보학
Geo-Informatics ",윤홍식,"화15:00-16:15【26307】,목16:30-17:45【26307】",일반수업,26307,"2_15001615, 4_16301745"
CAL3015-42,공과대학,건설환경공학부,"건축공학설계2
Architectural Engineering Design II",이송우,"월18:00-18:50【22402】,월19:00-19:50【22402】,월20:00-20:50【22402】,수18:00-18:50【22402】,수19:00-19:50【22402】,수20:00-20:50【22402】",일반수업,22402,"1_18001850, 1_19001950, 1_20002050, 3_18001850, 3_19001950, 3_20002050"
CAL3018-41,공과대학,건설환경공학부,"IndividualStudy2
IndividualStudy2",송두삼,미지정,일반수업,,미지정
CAL3020-41,공과대학,건설환경공학부,"건축공학현장실습1B
Practical Training 1B of Architectural Engineering ",심성한,미지정,일반수업,,미지정
CAL3022-41,공과대학,건설환경공학부,"건축공학현장실습2B 
Field Practice 2B in Architectural Engineering ",심성한,미지정,일반수업,,미지정
CAL3024-41,공과대학,건설환경공학부,"건축공학현장실습3B 
Practical Training 3B of Architectural Engineering ",심성한,미지정,일반수업,,미지정
CAL3035-41,공과대학,건설환경공학부,"첨단건설IT
Advanced Information Technology in the Construction Industry",진상윤,"수09:00-10:15【22402】,수10:30-11:45【22402】",국제어수업,22402,"3_09001015, 3_10301145"
CAL3041-41,공과대학,건설환경공학부,"환경수리학
Environmental Hydraulics",이정열,"월16:30-17:45【26512】,수15:00-16:15【26512】",일반수업,26512,"1_16301745, 3_15001615"
